deliverydate,peaktype,coast,east,far_west,north,north_c,southern,south_c,west,total
9/28/2016 0:00,PeakWD,13848,1626,2165,1030,13653,3707,7541,1258,44832
9/29/2016 0:00,PeakWD,12942,1582,2032,952,12824,4022,7062,1047,42467
9/30/2016 0:00,PeakWD,11738,1481,2140,971,12302,3612,6441,1129,39818
10/3/2016 0:00,PeakWD,13380,1632,2278,1113,14136,4172,7383,1260,45357
10/4/2016 0:00,PeakWD,14444,1740,2249,1117,15138,4380,8108,1330,48509
10/5/2016 0:00,PeakWD,14959,1967,2289,1208,16767,4497,8578,1388,51658
10/6/2016 0:00,PeakWD,14506,1878,2346,1193,16440,4492,8614,1388,50859
10/7/2016 0:00,PeakWD,14365,1702,2058,883,11550,4110,7374,1072,43118
10/10/2016 0:00,PeakWD,12095,1591,2208,961,11931,3609,6313,1123,39834
10/11/2016 0:00,PeakWD,13040,1703,2278,1051,13194,3759,6744,1193,42963
10/12/2016 0:00,PeakWD,14149,1947,2278,1066,15309,4146,7584,1238,47721
10/13/2016 0:00,PeakWD,14158,1847,2065,872,12018,4196,7924,1118,44201
10/14/2016 0:00,PeakWD,13350,1697,2165,951,11706,4076,7602,1382,42933
10/17/2016 0:00,PeakWD,14612,1986,2348,1250,15764,4224,8504,1554,50246
10/18/2016 0:00,PeakWD,14724,1949,2236,1136,16228,4269,8328,1293,50167
10/19/2016 0:00,PeakWD,14223,1978,2276,1188,15812,4236,8430,1339,49486
10/20/2016 0:00,PeakWD,12605,1620,2131,944,12208,3875,6807,1129,41321
10/21/2016 0:00,PeakWD,10479,1424,2089,942,10896,3059,5781,1069,35744
10/24/2016 0:00,PeakWD,11986,1554,2195,1328,12919,3689,6903,1170,41747
10/25/2016 0:00,PeakWD,12220,1522,2168,1194,12465,3542,6812,1172,41098
10/26/2016 0:00,PeakWD,12311,1561,2236,1239,13167,3698,7023,1273,42511
10/27/2016 0:00,PeakWD,12182,1577,2223,1326,13814,3594,7167,1229,43116
10/28/2016 0:00,PeakWD,12531,1674,2200,1291,13044,3512,6833,1189,42278
10/31/2016 0:00,PeakWD,12388,1598,2246,1276,13241,3717,6906,1210,42586
